번호,면적,시도명,시군구명,용도,장소명,주소,최대수용인원,경도,위도,정좌표경도,정좌표위도,구분
9587,1144000000,서울특별시,마포구,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",아현문화건강센터,서울특별시 마포구 마포대로11길 44-81 (아현동),68,126.95203,37.55175,195761.4989,550248.8545,안전
9589,1144000000,서울특별시,마포구,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",마포문화원,서울특별시 마포구 백범로 227(신공덕동),35,126.9554,37.54221,196058.8341,549189.8742,안전
9586,1144000000,서울특별시,마포구,학교,소의초등학교,서울특별시 마포구 마포대로24길 42(아현동),121,126.96084,37.55219,196540.0678,550297.3485,안전
9588,1144000000,서울특별시,마포구,관공서,아현동주민센터,서울특별시 마포구 마포대로7길 18(공덕동),42,126.9522,37.54711,195775.5414,549733.8653,안전
9639,1144000000,서울특별시,마포구,관공서,염리동주민센터,서울특별시 마포구 숭문길 14(염리동),34,126.94564,37.54702,195196.3848,549723.5928,안전
9642,1144000000,서울특별시,마포구,학교,창천중학교,서울특별시 마포구 백범로1길 56(노고산동),257,126.93932,37.55486,194638.2714,550594.0806,안전
9592,1144000000,서울특별시,마포구,학교,용강초등학교,서울특별시 마포구 백범로17길 9(대흥동),293,126.94412,37.54909,195062.2132,549953.4843,안전
9643,1144000000,서울특별시,마포구,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",우리마포복지관,서울특별시 마포구 신촌로26길 10(노고산동),78,126.94262,37.55599,194930.2215,550719.9698,안전
9606,1144000000,서울특별시,마포구,학교,성산중학교,서울특별시 마포구 성지1길 32-13 (합정동),357,126.91564,37.54674,192545.3913,549695.181,안전
9638,1144000000,서울특별시,마포구,학교,한서초등학교,서울특별시 마포구 대흥로24바길 27(염리동),221,126.94927,37.55347,195517.6429,550440.0629,안전
9608,1144000000,서울특별시,마포구,관공서,망원1동주민센터,서울특별시 마포구 포은로6길 10(망원동),56,126.90566,37.55559,191664.484,550677.776,안전
9609,1144000000,서울특별시,마포구,관공서,망원2동주민센터,서울특별시 마포구 방울내로7길 11(망원동),65,126.90235,37.56024,191372.3726,551194.6138,안전
